T.CFE,IF.CFE,IC.CFE,RB.SHF,AU.SHF
99.04,3157.4,5974.0,2059,264.4
98.955,3160.0,6016.6,2077,264.85
98.94,3148.0,5995.8,2099,266.55
99.19,3028.8,5732.0,2170,274.15
99.41,3050.4,5723.4,2072,273.35
99.485,3100.0,5920.0,2067,275.2
99.795,3028.8,5912.8,2074,279.95
99.73,3036.4,5810.6,2074,273.2
99.715,3049.2,5848.2,2062,273.75
99.835,3037.8,5777.6,2082,273.2
99.88,3076.0,5922.0,2143,269.6
99.865,3061.6,5888.0,2141,269.75
100.165,3013.2,5787.0,2126,282.25
100.45,3078.0,5965.2,2268,284.65
100.14,3094.0,6037.0,2265,283.35
100.105,3111.0,6050.4,2241,284.3
100.39,3111.2,6051.6,2337,283.0
100.63,3101.0,6039.8,2349,287.15
100.36,3170.0,6159.6,2424,292.15
100.265,3172.8,6202.4,2402,290.8
100.43,3184.2,6226.6,2378,296.7
100.69,3185.6,6279.4,2387,295.7
100.695,3171.4,6265.0,2445,292.8
100.495,3176.6,6248.0,2430,295.0
100.315,3262.6,6368.6,2558,293.6
100.25,3272.4,6416.4,2516,290.8
100.32,3241.0,6442.2,2524,288.85
100.55,3243.2,6319.0,2527,288.95
100.545,3224.2,6266.0,2362,288.15
100.6,3206.0,6272.8,2297,288.7
100.895,3196.0,6265.4,2310,287.55
100.955,3220.2,6310.0,2396,284.6
100.96,3194.2,6272.6,2310,286.3
100.795,3198.0,6290.4,2342,284.8
100.99,3247.0,6393.4,2379,285.2
100.9,3163.0,6104.2,2418,285.0
101.165,3191.0,6125.6,2480,289.25
101.065,3181.8,6103.0,2412,287.45
100.935,3151.6,6028.2,2495,289.65
101.075,3164.8,6083.0,2514,291.15
101.185,3166.0,6102.6,2497,292.6
101.21,3177.2,6164.8,2453,289.75
101.465,3193.0,6147.2,2538,293.3
101.475,3223.0,6248.2,2607,287.05
101.2,3244.0,6297.2,2589,286.8
101.17,3234.2,6286.2,2587,290.9
101.315,3226.2,6196.0,2594,288.5
101.55,3288.0,6260.4,2577,288.25
101.71,3380.0,6405.2,2571,287.7
101.48,3373.4,6458.2,2648,289.0
101.41,3341.8,6379.2,2589,287.6
101.435,3336.0,6379.8,2549,289.3
101.185,3332.4,6385.6,2567,289.3
101.375,3317.0,6320.6,2553,286.7
100.985,3318.0,6308.6,2596,287.25
