,T.CFE,IF.CFE,IC.CFE,RB.SHF,AU.SHF
2016-06-06,99.0400,"3,157.4000","5,974.0000","2,059.0000",264.4000
2016-06-07,98.9550,"3,160.0000","6,016.6000","2,077.0000",264.8500
2016-06-08,98.9400,"3,148.0000","5,995.8000","2,099.0000",266.5500
2016-06-13,99.1900,"3,028.8000","5,732.0000","2,170.0000",274.1500
2016-06-14,99.4100,"3,050.4000","5,723.4000","2,072.0000",273.3500
2016-06-15,99.4850,"3,100.0000","5,920.0000","2,067.0000",275.2000
2016-06-16,99.7950,"3,028.8000","5,912.8000","2,074.0000",279.9500
2016-06-17,99.7300,"3,036.4000","5,810.6000","2,074.0000",273.2000
2016-06-20,99.7150,"3,049.2000","5,848.2000","2,062.0000",273.7500
2016-06-21,99.8350,"3,037.8000","5,777.6000","2,082.0000",273.2000
2016-06-22,99.8800,"3,076.0000","5,922.0000","2,143.0000",269.6000
2016-06-23,99.8650,"3,061.6000","5,888.0000","2,141.0000",269.7500
2016-06-24,100.1650,"3,013.2000","5,787.0000","2,126.0000",282.2500
2016-06-27,100.4500,"3,078.0000","5,965.2000","2,268.0000",284.6500
2016-06-28,100.1400,"3,094.0000","6,037.0000","2,265.0000",283.3500
2016-06-29,100.1050,"3,111.0000","6,050.4000","2,241.0000",284.3000
2016-06-30,100.3900,"3,111.2000","6,051.6000","2,337.0000",283.0000
2016-07-01,100.6300,"3,101.0000","6,039.8000","2,349.0000",287.1500
2016-07-04,100.3600,"3,170.0000","6,159.6000","2,424.0000",292.1500
2016-07-05,100.2650,"3,172.8000","6,202.4000","2,402.0000",290.8000
2016-07-06,100.4300,"3,184.2000","6,226.6000","2,378.0000",296.7000
2016-07-07,100.6900,"3,185.6000","6,279.4000","2,387.0000",295.7000
2016-07-08,100.6950,"3,171.4000","6,265.0000","2,445.0000",292.8000
2016-07-11,100.4950,"3,176.6000","6,248.0000","2,430.0000",295.0000
2016-07-12,100.3150,"3,262.6000","6,368.6000","2,558.0000",293.6000
2016-07-13,100.2500,"3,272.4000","6,416.4000","2,516.0000",290.8000
2016-07-14,100.3200,"3,241.0000","6,442.2000","2,524.0000",288.8500
2016-07-15,100.5500,"3,243.2000","6,319.0000","2,527.0000",288.9500
2016-07-18,100.5450,"3,224.2000","6,266.0000","2,362.0000",288.1500
2016-07-19,100.6000,"3,206.0000","6,272.8000","2,297.0000",288.7000
2016-07-20,100.8950,"3,196.0000","6,265.4000","2,310.0000",287.5500
2016-07-21,100.9550,"3,220.2000","6,310.0000","2,396.0000",284.6000
2016-07-22,100.9600,"3,194.2000","6,272.6000","2,310.0000",286.3000
2016-07-25,100.7950,"3,198.0000","6,290.4000","2,342.0000",284.8000
2016-07-26,100.9900,"3,247.0000","6,393.4000","2,379.0000",285.2000
2016-07-27,100.9000,"3,163.0000","6,104.2000","2,418.0000",285.0000
2016-07-28,101.1650,"3,191.0000","6,125.6000","2,480.0000",289.2500
2016-07-29,101.0650,"3,181.8000","6,103.0000","2,412.0000",287.4500
2016-08-01,100.9350,"3,151.6000","6,028.2000","2,495.0000",289.6500
2016-08-02,101.0750,"3,164.8000","6,083.0000","2,514.0000",291.1500
2016-08-03,101.1850,"3,166.0000","6,102.6000","2,497.0000",292.6000
2016-08-04,101.2100,"3,177.2000","6,164.8000","2,453.0000",289.7500
2016-08-05,101.4650,"3,193.0000","6,147.2000","2,538.0000",293.3000
2016-08-08,101.4750,"3,223.0000","6,248.2000","2,607.0000",287.0500
2016-08-09,101.2000,"3,244.0000","6,297.2000","2,589.0000",286.8000
2016-08-10,101.1700,"3,234.2000","6,286.2000","2,587.0000",290.9000
2016-08-11,101.3150,"3,226.2000","6,196.0000","2,594.0000",288.5000
2016-08-12,101.5500,"3,288.0000","6,260.4000","2,577.0000",288.2500
2016-08-15,101.7100,"3,380.0000","6,405.2000","2,571.0000",287.7000
2016-08-16,101.4800,"3,373.4000","6,458.2000","2,648.0000",289.0000
2016-08-17,101.4100,"3,341.8000","6,379.2000","2,589.0000",287.6000
2016-08-18,101.4350,"3,336.0000","6,379.8000","2,549.0000",289.3000
2016-08-19,101.1850,"3,332.4000","6,385.6000","2,567.0000",289.3000
2016-08-22,101.3750,"3,317.0000","6,320.6000","2,553.0000",286.7000
2016-08-23,100.9850,"3,318.0000","6,308.6000","2,596.0000",287.2500
2016-08-24,100.9700,"3,302.2000","6,314.2000","2,589.0000",287.4000
2016-08-25,100.9150,"3,284.2000","6,280.0000","2,567.0000",284.7500
2016-08-26,101.1550,"3,278.4000","6,279.2000","2,502.0000",284.8000
2016-08-29,100.9550,"3,279.2000","6,327.2000","2,477.0000",283.9000
2016-08-30,100.6100,"3,293.2000","6,330.0000","2,422.0000",284.6500
2016-08-31,100.7000,"3,310.6000","6,343.0000","2,392.0000",283.4000
2016-09-01,100.7700,"3,271.8000","6,279.0000","2,402.0000",282.7500
2016-09-02,100.7400,"3,289.0000","6,271.0000","2,406.0000",283.1500
2016-09-05,100.7050,"3,299.4000","6,309.2000","2,436.0000",286.6500
2016-09-06,100.6200,"3,329.0000","6,445.8000","2,428.0000",286.9500
2016-09-07,100.5650,"3,330.2000","6,429.0000","2,334.0000",290.8500
2016-09-08,100.7550,"3,328.2000","6,477.2000","2,338.0000",290.4500
2016-09-09,100.8500,"3,309.0000","6,445.0000","2,343.0000",288.6500
2016-09-12,100.6450,"3,234.6000","6,256.0000","2,277.0000",287.5000
2016-09-13,100.9200,"3,245.6000","6,292.2000","2,256.0000",287.4500
2016-09-14,100.9750,"3,187.8000","6,157.4000","2,250.0000",286.0000
2016-09-19,101.0100,"3,214.0000","6,223.8000","2,239.0000",284.5500
2016-09-20,101.0400,"3,214.4000","6,217.6000","2,264.0000",284.8500
2016-09-21,101.0350,"3,236.6000","6,248.2000","2,257.0000",285.3500
2016-09-22,101.0200,"3,262.8000","6,293.2000","2,280.0000",287.7000
2016-09-23,101.1500,"3,248.4000","6,298.6000","2,309.0000",288.1500
2016-09-26,101.2500,"3,204.8000","6,201.2000","2,316.0000",288.1000
2016-09-27,101.2250,"3,224.8000","6,245.6000","2,273.0000",287.7000
2016-09-28,101.2000,"3,221.4000","6,240.2000","2,285.0000",285.4500
2016-09-29,101.1800,"3,241.8000","6,299.8000","2,273.0000",284.7500
2016-09-30,101.1900,"3,246.0000","6,318.6000","2,253.0000",285.3000
2016-10-10,101.5350,"3,289.2000","6,444.6000","2,270.0000",274.0000
2016-10-11,101.4350,"3,298.0000","6,454.8000","2,339.0000",273.9000
2016-10-12,101.3050,"3,289.8000","6,448.2000","2,358.0000",273.3000
2016-10-13,101.4100,"3,287.2000","6,462.0000","2,354.0000",274.2000
2016-10-14,101.4700,"3,301.8000","6,467.0000","2,399.0000",273.4500
2016-10-17,101.5300,"3,271.0000","6,418.0000","2,431.0000",273.7000
2016-10-18,101.4850,"3,317.0000","6,505.4000","2,441.0000",275.2000
2016-10-19,101.6600,"3,312.8000","6,491.2000","2,434.0000",275.2000
2016-10-20,101.8900,"3,289.6000","6,418.0000","2,486.0000",277.2500
2016-10-21,101.9500,"3,297.2000","6,396.6000","2,485.0000",276.3000
