Code,Multiplier,SlipPrice,FeesRatio
ZC.CZC,100,0.2,0.0005
I.DCE,100,0.5,0.0005
A.DCE,10,1.0,0.0005
BU.SHF,10,2.0,0.0005
RB.SHF,10,1.0,0.0005
P.DCE,10,2.0,0.0005
RU.SHF,10,5.0,0.0005
HC.SHF,10,1.0,0.0005
M.DCE,10,1.0,0.0005
MA.CZC,10,1.0,0.0005
J.DCE,100,0.5,0.0005
JD.DCE,10,1.0,0.0005
AU.SHF,1000,0.05,0.0005
JM.DCE,60,0.5,0.0005
SN.SHF,1,10.0,0.0005
TA.CZC,5,2.0,0.0005
CF.CZC,5,5.0,0.0005
AL.SHF,5,5.0,0.0005
RM.CZC,10,1.0,0.0005
OI.CZC,10,2.0,0.0005
AG.SHF,15,1.0,0.0005
L.DCE,5,5.0,0.0005
FG.CZC,20,1.0,0.0005
NI.SHF,1,10.0,0.0005
ZN.SHF,5,5.0,0.0005
PP.DCE,5,1.0,0.0005
CS.DCE,10,1.0,0.0005
SR.CZC,10,1.0,0.0005
V.DCE,5,5.0,0.0005
CU.SHF,5,10.0,0.0005
C.DCE,10,1.0,0.0005
PB.SHF,5,5.0,0.0005
STK,300,0.2,0.0005
COM,100,1,0.0005
ND,10000,0.005,0.0005
Currency,1,0.1,0.0005
